name,type,activity_code,activity,budget,memberships,zip,registerNumber,interestPercentage,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125
Handelsverband Deutschland - HDE - e. V.,,ACT_TRADE_ASSOC,Wirtschaftsverband oder Gewerbeverband/-verein,7240000.0,"['R000872', 'R000751', 'R003404', 'R000964', 'R002278', 'R001795']",10117.0,R000479,0.0923076923076923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wirtschaftsrat der CDU e.V.,,ACT_PROFESSION_ASSOC,Berufsverband,4770000.0,['R000751'],10117.0,R001795,0.0833333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bitkom e.V.,,ACT_TRADE_ASSOC,Wirtschaftsverband oder Gewerbeverband/-verein,4080000.0,"['R000534', 'R003188']",10117.0,R000672,0.0842105263157894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Huawei Technologies Deutschland GmbH,,ACT_ORGANIZATION,Unternehmen,2390000.0,"['R004624', 'R001795', 'R000328', 'R003404', 'R004129', 'R002833', 'R004048']",40549.0,R000969,0.2941176470588235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Google Germany GmbH,,ACT_ORGANIZATION,Unternehmen,2110000.0,"['R001564', 'R002357', 'R002111', 'R000257', 'R000747', 'R003188', 'R001392', 'R004129', 'R000328']",20354.0,R001794,0.1944444444444444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
new direction,,ACT_ORGANIZATION,Unternehmen,1600000.0,['R000433'],86356.0,R005624,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vodafone GmbH,,ACT_ORGANIZATION,Unternehmen,1380000.0,"['R000672', 'R002231', 'R002709', 'R001795', 'R002357', 'R003809', 'R002737']",40549.0,R001732,0.2413793103448276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IBM Deutschland GmbH,,ACT_ORGANIZATION,Unternehmen,1360000.0,"['R000672', 'R000802', 'R003404', 'R001564', 'R002357', 'R002737', 'R000684', 'R002017', 'R001623', 'R002278']",71139.0,R001842,0.1538461538461538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meta Platforms Ireland Limited,,ACT_ORGANIZATION,Unternehmen,1290000.0,[],,R002238,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ING-DiBa AG,,ACT_ORGANIZATION,Unternehmen,1210000.0,"['R002357', 'R000672', 'R001411', 'R003146', 'R003150', 'R001392', 'R003404', 'R001795']",60486.0,R002164,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
