Id,Label,type,budget,zip,interestPercentage
R000774,Gesamtverband der Deutschen Versicherungswirtschaft e.V.,Verein/Verband,15050000.0,10117.0,0.1333333333333333
R001211,Verbraucherzentrale Bundesverband e.V.,Verein/Verband,11060000.0,10969.0,0.1166666666666666
R005702,Ramboll Management Consulting,Consulting,10030000.0,22763.0,0.0416666666666666
R005836,Sustainalytics BV,Unternehmen,9830000.0,,0.0
R003787,Deutscher Hochschulverband,Verein/Verband,8550000.0,53173.0,0.0
R000476,Verband der Chemischen Industrie e.V.,Verein/Verband,8240000.0,60329.0,0.0757575757575757
R001657,"Der Mittelstand, BVMW e.V. Bundesverband mittelständische Wirtschaft",Verein/Verband,8180000.0,10785.0,0.0895522388059701
R000534,Bundesverband der Deutschen Industrie e.V.,Verein/Verband,7490000.0,10178.0,0.0579710144927536
R000479,Handelsverband Deutschland - HDE - e. V.,Verein/Verband,7240000.0,10117.0,0.0923076923076923
R000888,BDEW Bundesverband der Energie- und Wasserwirtschaft e.V. ,Verein/Verband,7200000.0,10117.0,0.0909090909090909
R001681,Volkswagen AG,Unternehmen,6500000.0,38440.0,0.0967741935483871
R001458,Bundesverband deutscher Banken e.V.,Verein/Verband,6360000.0,10178.0,0.1176470588235294
R002376,Bill & Melinda Gates Foundation,Verein/Verband,5740000.0,10117.0,0.0
R004904,"German American Chamber of Commerce of the Midwest, Inc.",Verein/Verband,5730000.0,,0.0
R005316,Deutscher Kanu-Verband,Verein/Verband,5720000.0,47055.0,0.0
R000098,VKU - Verband kommunaler Unternehmen e.V. ,Verein/Verband,5640000.0,10115.0,0.0
R002090,Deutscher Sparkassen- und Giroverband e.V.,Verein/Verband,5510000.0,10117.0,0.0
R000726,Campact e.V.,Verein/Verband,5240000.0,27283.0,0.0555555555555555
R002101,ZVEI e. V. - Verband der Elektro- und Digitalindustrie,Verein/Verband,4920000.0,60528.0,0.1016949152542373
R001795,Wirtschaftsrat der CDU e.V.,Verein/Verband,4770000.0,10117.0,0.0833333333333333
R002175,Deutscher Bauernverband e.V.,Verein/Verband,4450000.0,10117.0,0.0
R001243,Verband der Automobilindustrie e.V.,Verein/Verband,4440000.0,10117.0,0.1129032258064516
R000802,Verband Deutscher Maschinen- und Anlagenbau e.V. (VDMA e.V.),Verein/Verband,4400000.0,60528.0,0.0862068965517241
R003729,Climate Action Network (CAN) Europe,Verein/Verband,4360000.0,,0.0
R002034,Mercedes-Benz Group AG,Unternehmen,4090000.0,10587.0,0.0697674418604651
R000672,Bitkom e.V.,Verein/Verband,4080000.0,10117.0,0.0842105263157894
R002326,BASF SE,Unternehmen,3970000.0,67056.0,0.0615384615384615
R001255,Bundesverband Soziokultur,Verein/Verband,3950000.0,10557.0,0.0
R002337,INSM - Initiative Neue Soziale Marktwirtschaft,Verein/Verband,3810000.0,10117.0,0.0508474576271186
R004939,Deutsche Akademie der Naturforscher Leopoldina e.V. -- Nationale Akademie der Wissenschaften,,3800000.0,6019.0,0.0
R000762,Verband Forschender Arzneimittelhersteller e.V. (vfa),Verein/Verband,3760000.0,10117.0,0.0
R002002,Bundesärztekammer - Arbeitsgemeinschaft der deutschen Ärztekammern,,3610000.0,10598.0,0.1020408163265306
R001998,Deutsche Bank AG,Unternehmen,3580000.0,60325.0,0.0384615384615384
R002184,Allgemeiner Deutscher Automobil-Club e.V. (ADAC),Verein/Verband,3240000.0,80686.0,0.0256410256410256
R001242,Verband Deutscher Verkehrsunternehmen (VDV),Verein/Verband,3150000.0,10117.0,0.0
R001169,Bundesverband Öffentlicher Banken Deutschlands e.V.,Verein/Verband,3120000.0,10785.0,0.088235294117647
R002153,Microsoft Deutschland GmbH,Unternehmen,3060000.0,80807.0,0.1194029850746268
R002309,E.ON SE,Unternehmen,3050000.0,10115.0,0.0
R000433,DIE FAMILIENUNTERNEHMER e.V. - DIE JUNGEN UNTERNEHMER,Verein/Verband,3030000.0,10117.0,0.0579710144927536
R001501,Siemens Energy Global GmbH & Co. KG,Unternehmen,3000000.0,10553.0,0.0
R002323,Airbus Defence and Space GmbH,Unternehmen,2950000.0,82024.0,0.0
R001474,Deutsche Lufthansa Aktiengesellschaft,Unternehmen,2910000.0,50672.0,0.0697674418604651
R001003,REWE-Zentralfinanz eG (REWE Group),Unternehmen,2860000.0,50668.0,0.0714285714285714
R000789,Hauptverband der Deutschen Bauindustrie e.V.,Verein/Verband,2770000.0,10785.0,0.0697674418604651
R001693,Bundesverband der Deutschen  Volksbanken und Raiffeisenbanken e.V. (BVR) ,Verein/Verband,2760000.0,10785.0,0.0769230769230769
R001167,Arbeitsgemeinschaft Deutscher Verkehrsflughäfen e.V.,Verein/Verband,2760000.0,10117.0,0.0277777777777777
R003307,Deutscher Skiverband e.V.,Verein/Verband,2730000.0,82152.0,0.0
R001306,Uniper SE,Unternehmen,2670000.0,40221.0,0.0
R002346,Deutsche Telekom AG,Unternehmen,2650000.0,53113.0,0.1153846153846153
R001702,AUDI AG,Unternehmen,2620000.0,85045.0,0.0779220779220779
R004618,Stiftung Klimaneutralität gGmbH,,2500000.0,10117.0,0.0
R001417,ABDA - Bundesvereinigung Deutscher Apothekerverbände e. V.,Verein/Verband,2450000.0,10557.0,0.0
