Source,Target,Type
R000479,R003404,Directed
R000479,R000328,Directed
R000479,R001795,Directed
R002101,R000328,Directed
R002101,R001795,Directed
R000672,R003188,Directed
R001784,R002357,Directed
R001784,R002111,Directed
R001784,R000257,Directed
R001784,R002806,Directed
R001784,R000903,Directed
R001784,R000479,Directed
R001784,R002790,Directed
R001784,R000672,Directed
R001794,R001564,Directed
R001794,R002357,Directed
R001794,R002111,Directed
R001794,R000257,Directed
R001794,R000747,Directed
R001794,R003188,Directed
R001794,R001392,Directed
R001794,R000479,Directed
R001794,R004367,Directed
R001794,R000328,Directed
R001794,R001795,Directed
R000969,R004624,Directed
R000969,R001795,Directed
R000969,R000328,Directed
R000969,R003404,Directed
R002164,R001564,Directed
R002164,R002357,Directed
R002164,R000672,Directed
R002164,R001392,Directed
R002164,R003404,Directed
R002164,R002246,Directed
R002164,R001795,Directed
R001732,R000672,Directed
R001732,R002231,Directed
R001732,R002709,Directed
R001732,R003188,Directed
R001732,R001795,Directed
R001732,R002357,Directed
R001732,R002737,Directed
R001842,R000672,Directed
R001842,R003404,Directed
R001842,R001564,Directed
R001842,R002357,Directed
R001842,R002737,Directed
R001238,R003404,Directed
R003411,R003134,Directed
R003411,R000747,Directed
R003411,R000780,Directed
R003411,R002737,Directed
R003411,R002709,Directed
R001801,R002101,Directed
R000798,R001564,Directed
R000798,R001795,Directed
R000912,R003675,Directed
R000912,R000798,Directed
R000912,R001795,Directed
R000912,R000328,Directed
R002222,R001795,Directed
R002222,R000613,Directed
R002359,R001564,Directed
R002359,R003404,Directed
R002359,R002101,Directed
R003007,R001564,Directed
R003007,R001795,Directed
R002043,R000672,Directed
R002043,R001392,Directed
R002043,R002101,Directed
R002043,R001795,Directed
R002215,R001795,Directed
R001443,R000257,Directed
R001443,R000613,Directed
R001443,R003527,Directed
R001443,R003404,Directed
R001443,R000328,Directed
R001443,R001795,Directed
R001443,R002884,Directed
R002709,R000328,Directed
R002709,R001795,Directed
R002709,R003404,Directed
R000973,R000672,Directed
R003869,R003675,Directed
R005046,R000747,Directed
R005046,R000780,Directed
R001607,R002709,Directed
